condition,task_id,family,level,seed,success
B,659,viewpoint,2,0,0
B,659,viewpoint,2,0,0
B,662,viewpoint,2,0,0
B,662,viewpoint,2,0,0
B,662,viewpoint,2,0,0
B,662,viewpoint,2,0,0
B,662,viewpoint,2,0,0
B,620,viewpoint,4,0,0
B,620,viewpoint,4,0,0
B,620,viewpoint,4,0,0
B,620,viewpoint,4,0,0
B,620,viewpoint,4,0,0
B,622,viewpoint,4,0,0
B,622,viewpoint,4,0,0
B,622,viewpoint,4,0,0
B,622,viewpoint,4,0,0
B,622,viewpoint,4,0,0
B,628,viewpoint,4,0,0
B,628,viewpoint,4,0,0
B,628,viewpoint,4,0,0
B,628,viewpoint,4,0,0
B,628,viewpoint,4,0,0
B,633,viewpoint,4,0,0
B,633,viewpoint,4,0,0
B,633,viewpoint,4,0,0
B,633,viewpoint,4,0,0
B,633,viewpoint,4,0,0
B,639,viewpoint,4,0,0
B,639,viewpoint,4,0,0
B,639,viewpoint,4,0,0
B,639,viewpoint,4,0,0
B,639,viewpoint,4,0,0
B,644,viewpoint,4,0,0
B,644,viewpoint,4,0,0
B,644,viewpoint,4,0,0
B,644,viewpoint,4,0,0
B,644,viewpoint,4,0,0
B,646,viewpoint,4,0,0
B,646,viewpoint,4,0,0
B,646,viewpoint,4,0,0
B,646,viewpoint,4,0,0
B,646,viewpoint,4,0,0
B,647,viewpoint,4,0,0
B,647,viewpoint,4,0,0
B,647,viewpoint,4,0,0
B,647,viewpoint,4,0,0
B,647,viewpoint,4,0,0
B,649,viewpoint,4,0,0
B,649,viewpoint,4,0,0
B,649,viewpoint,4,0,0
B,649,viewpoint,4,0,0
B,649,viewpoint,4,0,0
B,791,viewpoint,4,0,0
B,791,viewpoint,4,0,0
B,791,viewpoint,4,0,0
B,791,viewpoint,4,0,0
B,791,viewpoint,4,0,0
B,805,viewpoint,4,0,0
B,805,viewpoint,4,0,0
B,805,viewpoint,4,0,0
B,805,viewpoint,4,0,0
B,805,viewpoint,4,0,0
B,807,viewpoint,4,0,0
B,807,viewpoint,4,0,0
B,807,viewpoint,4,0,0
B,807,viewpoint,4,0,0
B,807,viewpoint,4,0,0
B,2110,lighting,2,0,0
B,2110,lighting,2,0,1
B,2110,lighting,2,0,1
B,2110,lighting,2,0,0
B,2110,lighting,2,0,1
B,2111,lighting,2,0,1
B,2111,lighting,2,0,1
B,2111,lighting,2,0,1
B,2111,lighting,2,0,1
B,2111,lighting,2,0,1
B,2117,lighting,2,0,0
B,2117,lighting,2,0,0
B,2117,lighting,2,0,0
B,2117,lighting,2,0,1
B,2117,lighting,2,0,0
B,2118,lighting,2,0,0
B,2118,lighting,2,0,1
B,2118,lighting,2,0,0
B,2118,lighting,2,0,0
B,2118,lighting,2,0,1
B,2120,lighting,2,0,1
B,2120,lighting,2,0,1
B,2120,lighting,2,0,1
B,2120,lighting,2,0,0
B,2120,lighting,2,0,1
B,2121,lighting,2,0,1
B,2121,lighting,2,0,0
B,2121,lighting,2,0,0
B,2121,lighting,2,0,0
B,2121,lighting,2,0,1
B,2128,lighting,2,0,1
B,2128,lighting,2,0,0
B,2128,lighting,2,0,0
B,2128,lighting,2,0,0
B,2128,lighting,2,0,0
B,2131,lighting,2,0,1
B,2131,lighting,2,0,0
B,2131,lighting,2,0,1
B,2131,lighting,2,0,0
B,2131,lighting,2,0,0
B,2133,lighting,2,0,1
B,2133,lighting,2,0,0
B,2133,lighting,2,0,1
B,2133,lighting,2,0,1
B,2133,lighting,2,0,1
B,2138,lighting,2,0,1
B,2138,lighting,2,0,0
B,2138,lighting,2,0,1
B,2138,lighting,2,0,1
B,2138,lighting,2,0,1
B,2142,lighting,2,0,0
B,2142,lighting,2,0,0
B,2142,lighting,2,0,0
B,2142,lighting,2,0,0
B,2142,lighting,2,0,0
B,2147,lighting,2,0,0
B,2147,lighting,2,0,0
B,2147,lighting,2,0,0
B,2147,lighting,2,0,0
B,2147,lighting,2,0,1
B,2112,lighting,4,0,1
B,2112,lighting,4,0,0
B,2112,lighting,4,0,1
B,2112,lighting,4,0,1
B,2112,lighting,4,0,1
B,2119,lighting,4,0,1
B,2119,lighting,4,0,1
B,2119,lighting,4,0,1
B,2119,lighting,4,0,1
B,2119,lighting,4,0,1
B,2127,lighting,4,0,1
B,2127,lighting,4,0,0
B,2127,lighting,4,0,0
B,2127,lighting,4,0,0
B,2127,lighting,4,0,0
B,2129,lighting,4,0,0
B,2129,lighting,4,0,0
B,2129,lighting,4,0,0
B,2129,lighting,4,0,1
B,2129,lighting,4,0,0
B,2134,lighting,4,0,0
B,2134,lighting,4,0,1
B,2134,lighting,4,0,0
B,2134,lighting,4,0,0
B,2134,lighting,4,0,0
B,2136,lighting,4,0,1
B,2136,lighting,4,0,0
B,2136,lighting,4,0,1
B,2136,lighting,4,0,0
B,2136,lighting,4,0,1
B,2137,lighting,4,0,1
B,2137,lighting,4,0,0
B,2137,lighting,4,0,0
B,2137,lighting,4,0,0
B,2137,lighting,4,0,0
B,2140,lighting,4,0,0
B,2140,lighting,4,0,1
B,2140,lighting,4,0,0
B,2140,lighting,4,0,1
B,2140,lighting,4,0,1
B,2150,lighting,4,0,1
B,2150,lighting,4,0,0
B,2150,lighting,4,0,1
B,2150,lighting,4,0,1
B,2150,lighting,4,0,1
B,2173,lighting,4,0,0
B,2173,lighting,4,0,1
B,2173,lighting,4,0,1
B,2173,lighting,4,0,1
B,2173,lighting,4,0,0
B,2180,lighting,4,0,0
B,2180,lighting,4,0,1
B,2180,lighting,4,0,1
B,2180,lighting,4,0,0
B,2180,lighting,4,0,0
B,2182,lighting,4,0,0
B,2182,lighting,4,0,0
B,2182,lighting,4,0,1
B,2182,lighting,4,0,0
B,2182,lighting,4,0,0
B,0,texture,2,0,0
B,0,texture,2,0,1
B,0,texture,2,0,0
B,0,texture,2,0,0
B,0,texture,2,0,0
B,1,texture,2,0,0
B,1,texture,2,0,1
B,1,texture,2,0,0
B,1,texture,2,0,0
B,1,texture,2,0,1
B,2,texture,2,0,1
B,2,texture,2,0,0
B,2,texture,2,0,0
B,2,texture,2,0,0
B,2,texture,2,0,0
B,3,texture,2,0,1
B,3,texture,2,0,0
B,3,texture,2,0,0
B,3,texture,2,0,0
B,3,texture,2,0,0
B,12,texture,2,0,0
B,12,texture,2,0,0
B,12,texture,2,0,0
B,12,texture,2,0,0
B,12,texture,2,0,1
B,14,texture,2,0,0
B,14,texture,2,0,0
B,14,texture,2,0,0
B,14,texture,2,0,1
B,14,texture,2,0,0
B,15,texture,2,0,0
B,15,texture,2,0,0
B,15,texture,2,0,0
B,15,texture,2,0,0
B,15,texture,2,0,1
B,17,texture,2,0,1
B,17,texture,2,0,0
B,17,texture,2,0,0
B,17,texture,2,0,1
B,17,texture,2,0,1
B,24,texture,2,0,0
B,24,texture,2,0,0
B,24,texture,2,0,0
B,24,texture,2,0,0
B,24,texture,2,0,1
B,25,texture,2,0,1
B,25,texture,2,0,0
B,25,texture,2,0,1
B,25,texture,2,0,0
B,25,texture,2,0,1
B,26,texture,2,0,0
B,26,texture,2,0,0
B,26,texture,2,0,1
B,26,texture,2,0,1
B,26,texture,2,0,1
B,32,texture,2,0,0
B,32,texture,2,0,1
B,32,texture,2,0,0
B,32,texture,2,0,0
B,32,texture,2,0,0
B,30,texture,4,0,0
B,30,texture,4,0,1
B,30,texture,4,0,0
B,30,texture,4,0,0
B,30,texture,4,0,0
B,31,texture,4,0,0
B,31,texture,4,0,0
B,31,texture,4,0,0
B,31,texture,4,0,0
B,31,texture,4,0,0
B,53,texture,4,0,1
B,53,texture,4,0,1
B,53,texture,4,0,0
B,53,texture,4,0,1
B,53,texture,4,0,1
B,54,texture,4,0,0
B,54,texture,4,0,1
B,54,texture,4,0,0
B,54,texture,4,0,1
B,54,texture,4,0,1
B,59,texture,4,0,0
B,59,texture,4,0,0
B,59,texture,4,0,0
B,59,texture,4,0,1
B,59,texture,4,0,1
B,63,texture,4,0,1
B,63,texture,4,0,1
B,63,texture,4,0,0
B,63,texture,4,0,0
B,63,texture,4,0,1
B,64,texture,4,0,1
B,64,texture,4,0,0
B,64,texture,4,0,0
B,64,texture,4,0,1
B,64,texture,4,0,1
B,66,texture,4,0,1
B,66,texture,4,0,1
B,66,texture,4,0,0
B,66,texture,4,0,0
B,66,texture,4,0,1
B,68,texture,4,0,0
B,68,texture,4,0,0
B,68,texture,4,0,1
B,68,texture,4,0,0
B,68,texture,4,0,1
B,69,texture,4,0,1
B,69,texture,4,0,0
B,69,texture,4,0,1
B,69,texture,4,0,0
B,69,texture,4,0,1
B,70,texture,4,0,0
B,70,texture,4,0,1
B,70,texture,4,0,1
B,70,texture,4,0,0
B,70,texture,4,0,1
B,87,texture,4,0,0
B,87,texture,4,0,0
B,87,texture,4,0,0
B,87,texture,4,0,0
B,87,texture,4,0,1
B,1375,noise,2,0,0
B,1375,noise,2,0,0
B,1375,noise,2,0,0
B,1375,noise,2,0,0
B,1375,noise,2,0,1
B,1376,noise,2,0,0
B,1376,noise,2,0,0
B,1376,noise,2,0,0
B,1376,noise,2,0,0
B,1376,noise,2,0,0
B,1377,noise,2,0,0
B,1377,noise,2,0,0
B,1377,noise,2,0,0
B,1377,noise,2,0,0
B,1377,noise,2,0,0
B,1378,noise,2,0,0
B,1378,noise,2,0,0
B,1378,noise,2,0,0
B,1378,noise,2,0,0
B,1378,noise,2,0,0
B,1379,noise,2,0,0
B,1379,noise,2,0,0
B,1379,noise,2,0,0
B,1379,noise,2,0,0
B,1379,noise,2,0,0
B,1383,noise,2,0,0
B,1383,noise,2,0,0
B,1383,noise,2,0,0
B,1383,noise,2,0,0
B,1383,noise,2,0,0
B,1387,noise,4,0,0
B,1387,noise,4,0,0
B,1387,noise,4,0,0
B,1387,noise,4,0,0
B,1387,noise,4,0,0
B,1388,noise,4,0,0
B,1388,noise,4,0,0
B,1388,noise,4,0,0
B,1388,noise,4,0,0
B,1388,noise,4,0,0
B,1389,noise,4,0,0
B,1389,noise,4,0,0
B,1389,noise,4,0,0
B,1389,noise,4,0,0
B,1389,noise,4,0,0
B,1410,noise,4,0,0
B,1410,noise,4,0,0
B,1410,noise,4,0,0
B,1410,noise,4,0,0
B,1410,noise,4,0,0
B,1413,noise,4,0,0
B,1413,noise,4,0,0
B,1413,noise,4,0,0
B,1413,noise,4,0,0
B,1413,noise,4,0,0
B,1417,noise,4,0,0
B,1417,noise,4,0,0
B,1417,noise,4,0,0
B,1417,noise,4,0,0
B,1417,noise,4,0,0
B,1767,layout,2,0,0
B,1767,layout,2,0,0
B,1767,layout,2,0,0
B,1767,layout,2,0,0
B,1767,layout,2,0,0
B,1893,layout,2,0,0
B,1893,layout,2,0,1
B,1893,layout,2,0,0
B,1893,layout,2,0,0
B,1893,layout,2,0,0
B,1902,layout,2,0,0
B,1902,layout,2,0,0
B,1902,layout,2,0,1
B,1902,layout,2,0,0
B,1902,layout,2,0,0
B,1912,layout,2,0,0
B,1912,layout,2,0,0
B,1912,layout,2,0,0
B,1912,layout,2,0,0
B,1912,layout,2,0,0
B,1918,layout,2,0,0
B,1918,layout,2,0,0
B,1918,layout,2,0,1
B,1918,layout,2,0,0
B,1918,layout,2,0,0
B,1931,layout,2,0,0
B,1931,layout,2,0,0
B,1931,layout,2,0,0
B,1931,layout,2,0,0
B,1931,layout,2,0,0
B,1939,layout,2,0,0
B,1939,layout,2,0,1
B,1939,layout,2,0,0
B,1939,layout,2,0,0
B,1939,layout,2,0,0
B,1948,layout,2,0,1
B,1948,layout,2,0,1
B,1948,layout,2,0,1
B,1948,layout,2,0,1
B,1948,layout,2,0,1
B,1952,layout,2,0,1
B,1952,layout,2,0,1
B,1952,layout,2,0,1
B,1952,layout,2,0,0
B,1952,layout,2,0,0
B,1953,layout,2,0,1
B,1953,layout,2,0,0
B,1953,layout,2,0,1
B,1953,layout,2,0,1
B,1953,layout,2,0,1
B,1954,layout,2,0,1
B,1954,layout,2,0,1
B,1954,layout,2,0,0
B,1954,layout,2,0,0
B,1954,layout,2,0,1
B,1955,layout,2,0,1
B,1955,layout,2,0,1
B,1955,layout,2,0,1
B,1955,layout,2,0,1
B,1955,layout,2,0,1
B,1725,layout,4,0,1
B,1725,layout,4,0,0
B,1725,layout,4,0,0
B,1725,layout,4,0,0
B,1725,layout,4,0,1
B,1727,layout,4,0,0
B,1727,layout,4,0,0
B,1727,layout,4,0,0
B,1727,layout,4,0,0
B,1727,layout,4,0,0
B,1728,layout,4,0,1
B,1728,layout,4,0,0
B,1728,layout,4,0,0
B,1728,layout,4,0,0
B,1728,layout,4,0,1
B,1730,layout,4,0,1
B,1730,layout,4,0,0
B,1730,layout,4,0,0
B,1730,layout,4,0,0
B,1730,layout,4,0,1
B,1731,layout,4,0,1
B,1731,layout,4,0,0
B,1731,layout,4,0,0
B,1731,layout,4,0,1
B,1731,layout,4,0,0
B,1732,layout,4,0,0
B,1732,layout,4,0,1
B,1732,layout,4,0,0
B,1732,layout,4,0,0
B,1732,layout,4,0,0
B,1735,layout,4,0,0
B,1735,layout,4,0,0
B,1735,layout,4,0,0
B,1735,layout,4,0,0
B,1735,layout,4,0,0
B,1738,layout,4,0,1
B,1738,layout,4,0,0
B,1738,layout,4,0,0
B,1738,layout,4,0,0
B,1738,layout,4,0,0
B,1741,layout,4,0,0
B,1741,layout,4,0,0
B,1741,layout,4,0,0
B,1741,layout,4,0,0
B,1741,layout,4,0,0
B,1743,layout,4,0,0
B,1743,layout,4,0,0
B,1743,layout,4,0,0
B,1743,layout,4,0,0
B,1743,layout,4,0,0
B,1744,layout,4,0,1
B,1744,layout,4,0,0
B,1744,layout,4,0,1
B,1744,layout,4,0,1
B,1744,layout,4,0,1
B,1745,layout,4,0,1
B,1745,layout,4,0,0
B,1745,layout,4,0,0
B,1745,layout,4,0,0
B,1745,layout,4,0,1
C,0,clean,0,0,0
C,0,clean,0,0,1
C,0,clean,0,0,0
C,0,clean,0,0,0
C,0,clean,0,0,0
C,1,clean,0,0,1
C,1,clean,0,0,1
C,1,clean,0,0,0
C,1,clean,0,0,1
C,1,clean,0,0,1
C,2,clean,0,0,1
C,2,clean,0,0,0
C,2,clean,0,0,1
C,2,clean,0,0,1
C,2,clean,0,0,0
C,3,clean,0,0,1
C,3,clean,0,0,1
C,3,clean,0,0,0
C,3,clean,0,0,1
C,3,clean,0,0,0
C,4,clean,0,0,0
C,4,clean,0,0,1
C,4,clean,0,0,0
C,4,clean,0,0,1
C,4,clean,0,0,1
C,5,clean,0,0,1
C,5,clean,0,0,0
C,5,clean,0,0,0
C,5,clean,0,0,0
C,5,clean,0,0,0
C,6,clean,0,0,1
C,6,clean,0,0,0
C,6,clean,0,0,1
C,6,clean,0,0,1
C,6,clean,0,0,1
C,7,clean,0,0,0
C,7,clean,0,0,0
C,7,clean,0,0,1
C,7,clean,0,0,0
C,7,clean,0,0,1
C,8,clean,0,0,1
C,8,clean,0,0,1
C,8,clean,0,0,0
C,8,clean,0,0,1
C,8,clean,0,0,1
C,9,clean,0,0,1
C,9,clean,0,0,1
C,9,clean,0,0,1
C,9,clean,0,0,0
C,9,clean,0,0,1
C,611,viewpoint,2,0,0
C,611,viewpoint,2,0,0
C,611,viewpoint,2,0,0
C,611,viewpoint,2,0,0
C,611,viewpoint,2,0,0
C,612,viewpoint,2,0,0
C,612,viewpoint,2,0,0
C,612,viewpoint,2,0,0
C,612,viewpoint,2,0,0
C,612,viewpoint,2,0,0
C,614,viewpoint,2,0,0
C,614,viewpoint,2,0,0
C,614,viewpoint,2,0,0
C,614,viewpoint,2,0,0
C,614,viewpoint,2,0,0
C,615,viewpoint,2,0,0
C,615,viewpoint,2,0,0
C,615,viewpoint,2,0,0
C,615,viewpoint,2,0,0
C,615,viewpoint,2,0,0
C,624,viewpoint,2,0,0
C,624,viewpoint,2,0,0
C,624,viewpoint,2,0,0
C,624,viewpoint,2,0,0
C,624,viewpoint,2,0,0
C,626,viewpoint,2,0,0
C,626,viewpoint,2,0,0
C,626,viewpoint,2,0,0
C,626,viewpoint,2,0,0
C,626,viewpoint,2,0,0
C,636,viewpoint,2,0,0
C,636,viewpoint,2,0,0
C,636,viewpoint,2,0,0
C,636,viewpoint,2,0,0
C,636,viewpoint,2,0,0
C,642,viewpoint,2,0,0
C,642,viewpoint,2,0,0
C,642,viewpoint,2,0,0
C,642,viewpoint,2,0,0
C,642,viewpoint,2,0,0
C,656,viewpoint,2,0,0
C,656,viewpoint,2,0,0
C,656,viewpoint,2,0,0
C,656,viewpoint,2,0,0
C,656,viewpoint,2,0,0
C,657,viewpoint,2,0,0
C,657,viewpoint,2,0,0
C,657,viewpoint,2,0,0
C,657,viewpoint,2,0,0
C,657,viewpoint,2,0,0
C,659,viewpoint,2,0,0
C,659,viewpoint,2,0,0
C,659,viewpoint,2,0,0
C,659,viewpoint,2,0,0
C,659,viewpoint,2,0,0
C,662,viewpoint,2,0,0
C,662,viewpoint,2,0,0
C,662,viewpoint,2,0,0
C,662,viewpoint,2,0,0
